N_POINTS,N_THREADS,EXEC_TIME
1000000,1,0.14034295082092285
1000000,1,0.13826394081115723
1000000,1,0.1194157600402832
1000000,1,0.1310257911682129
1000000,1,0.11623597145080566
1000000,2,0.11704635620117188
1000000,2,0.12235379219055176
1000000,2,0.15791726112365723
1000000,2,0.15155506134033203
1000000,2,0.1208348274230957
1000000,4,0.16432452201843262
1000000,4,0.13258790969848633
1000000,4,0.12371325492858887
1000000,4,0.1425769329071045
1000000,4,0.12801742553710938
1000000,8,0.17006278038024902
1000000,8,0.17403316497802734
1000000,8,0.13825511932373047
1000000,8,0.14298510551452637
1000000,8,0.13938212394714355
1000000,16,0.15805935859680176
1000000,16,0.14423418045043945
1000000,16,0.18330621719360352
1000000,16,0.14011263847351074
1000000,16,0.16176438331604004
10000000,1,0.1847376823425293
10000000,1,0.1923222541809082
10000000,1,0.16023516654968262
10000000,1,0.15825653076171875
10000000,1,0.16150927543640137
10000000,2,0.1431105136871338
10000000,2,0.1670217514038086
10000000,2,0.17839550971984863
10000000,2,0.15794706344604492
10000000,2,0.14350581169128418
10000000,4,0.17638611793518066
10000000,4,0.1795334815979004
10000000,4,0.13607573509216309
10000000,4,0.15935564041137695
10000000,4,0.15644526481628418
10000000,8,0.13846635818481445
10000000,8,0.18452787399291992
10000000,8,0.1718287467956543
10000000,8,0.1530289649963379
10000000,8,0.1385960578918457
10000000,16,0.21774816513061523
10000000,16,0.18787884712219238
10000000,16,0.17667818069458008
10000000,16,0.2037067413330078
10000000,16,0.22109699249267578
100000000,1,0.6389110088348389
100000000,1,0.6074376106262207
100000000,1,0.5933120250701904
100000000,1,0.5903806686401367
100000000,1,0.5768578052520752
100000000,2,0.3807346820831299
100000000,2,0.3732788562774658
100000000,2,0.3976571559906006
100000000,2,0.3858013153076172
100000000,2,0.40780115127563477
100000000,4,0.31009817123413086
100000000,4,0.2848942279815674
100000000,4,0.31528186798095703
100000000,4,0.39495301246643066
100000000,4,0.3105494976043701
100000000,8,0.2770960330963135
100000000,8,0.2796053886413574
100000000,8,0.3418567180633545
100000000,8,0.3291466236114502
100000000,8,0.34217309951782227
100000000,16,0.34591174125671387
100000000,16,0.39487600326538086
100000000,16,0.38631725311279297
100000000,16,0.34746336936950684
100000000,16,0.35309338569641113
1000000000,1,4.876753807067871
1000000000,1,4.771886587142944
1000000000,1,4.706599473953247
1000000000,1,4.74817681312561
1000000000,1,4.6700193881988525
1000000000,2,2.7426035404205322
1000000000,2,2.829512357711792
1000000000,2,2.797886610031128
1000000000,2,2.7896339893341064
1000000000,2,2.751875638961792
1000000000,4,1.7614014148712158
1000000000,4,1.831707239151001
1000000000,4,1.8219053745269775
1000000000,4,1.8844044208526611
1000000000,4,1.8462023735046387
1000000000,8,2.0348448753356934
1000000000,8,2.0337038040161133
1000000000,8,2.0507872104644775
1000000000,8,2.077202320098877
1000000000,8,1.6560540199279785
1000000000,16,2.051783800125122
1000000000,16,2.0523550510406494
1000000000,16,2.001464366912842
1000000000,16,2.0305263996124268
1000000000,16,2.03904128074646
10000000000,1,45.652565240859985
10000000000,1,45.06849932670593
10000000000,1,45.25502014160156
10000000000,1,44.946481227874756
10000000000,1,44.822953939437866
10000000000,2,26.13672161102295
10000000000,2,26.029139041900635
10000000000,2,26.086116790771484
10000000000,2,26.22679305076599
10000000000,2,26.1544086933136
10000000000,4,16.645142555236816
10000000000,4,16.554152965545654
10000000000,4,16.513715028762817
10000000000,4,16.4957058429718
10000000000,4,16.462246417999268
10000000000,8,18.810385704040527
10000000000,8,15.141106605529785
10000000000,8,15.01712703704834
10000000000,8,15.060206890106201
10000000000,8,14.977733612060547
10000000000,16,18.440889596939087
10000000000,16,18.57864236831665
10000000000,16,18.53644371032715
10000000000,16,18.748337268829346
10000000000,16,18.748265027999878
