N_POINTS,N_THREADS,EXEC_TIME
10000000,1,0.15652108192443848
10000000,1,0.1401376724243164
10000000,1,0.1325361728668213
10000000,1,0.12706327438354492
10000000,1,0.12970876693725586
10000000,2,0.06724405288696289
10000000,2,0.06936860084533691
10000000,2,0.07000112533569336
10000000,2,0.07149720191955566
10000000,2,0.0724172592163086
10000000,4,0.04018425941467285
10000000,4,0.041925907135009766
10000000,4,0.04291939735412598
10000000,4,0.04391169548034668
10000000,4,0.045259714126586914
10000000,8,0.03264260292053223
10000000,8,0.03304123878479004
10000000,8,0.03411102294921875
10000000,8,0.03447365760803223
10000000,8,0.03452563285827637
10000000,16,0.03788399696350098
10000000,16,0.03605818748474121
10000000,16,0.0361175537109375
10000000,16,0.036614179611206055
10000000,16,0.03583168983459473
100000000,1,1.2582085132598877
100000000,1,1.1412973403930664
100000000,1,1.1466002464294434
100000000,1,1.1491100788116455
100000000,1,1.1452140808105469
100000000,2,0.6510360240936279
100000000,2,0.6981899738311768
100000000,2,0.6987013816833496
100000000,2,0.702185869216919
100000000,2,0.698948860168457
100000000,4,0.40024447441101074
100000000,4,0.4414403438568115
100000000,4,0.45022010803222656
100000000,4,0.4475061893463135
100000000,4,0.44899439811706543
100000000,8,0.3072803020477295
100000000,8,0.32016587257385254
100000000,8,0.3211703300476074
100000000,8,0.32033705711364746
100000000,8,0.32504940032958984
100000000,16,0.32286715507507324
100000000,16,0.3256111145019531
100000000,16,0.32271242141723633
100000000,16,0.3230905532836914
100000000,16,0.34363794326782227
1000000000,1,11.536067485809326
1000000000,1,11.448358535766602
1000000000,1,11.464693069458008
1000000000,1,11.476325511932373
1000000000,1,11.344053030014038
1000000000,2,12.074671030044556
1000000000,2,7.022391080856323
1000000000,2,6.967529773712158
1000000000,2,6.953449726104736
1000000000,2,6.906702041625977
1000000000,4,4.366156101226807
1000000000,4,4.446797847747803
1000000000,4,4.439203977584839
1000000000,4,4.4008684158325195
1000000000,4,4.390476942062378
1000000000,8,3.1660749912261963
1000000000,8,3.1222143173217773
1000000000,8,3.142286777496338
1000000000,8,3.0884056091308594
1000000000,8,3.105952739715576
1000000000,16,3.101001262664795
1000000000,16,3.1869935989379883
1000000000,16,3.070669174194336
1000000000,16,3.0861525535583496
1000000000,16,3.0990095138549805
10000000000,1,16.48668599128723
10000000000,1,16.288105726242065
10000000000,1,16.05935788154602
10000000000,1,15.889764308929443
10000000000,1,15.83387041091919
10000000000,2,9.52147102355957
10000000000,2,9.56636118888855
10000000000,2,9.573797941207886
10000000000,2,9.666096925735474
10000000000,2,9.59489369392395
10000000000,4,6.134477853775024
10000000000,4,6.158041954040527
10000000000,4,6.201989412307739
10000000000,4,6.16851544380188
10000000000,4,6.149333953857422
10000000000,8,4.445406436920166
10000000000,8,4.354942560195923
10000000000,8,4.3803088665008545
10000000000,8,4.3663225173950195
10000000000,8,4.344321250915527
10000000000,16,4.3388450145721436
10000000000,16,4.3640220165252686
10000000000,16,4.338373184204102
10000000000,16,4.416900873184204
10000000000,16,4.34988808631897
